"year","zone","type","measure","value"
"2013","S01001790","Detached","Count",76
"2011","S01001790","Detached","Count",76
"2007","S01001790","Detached","Count",74
"2008","S01001790","Detached","Count",76
"2010","S01001790","Detached","Count",76
"2004","S01001790","All","Count",318
"2005","S01001790","All","Count",318
"2006","S01001790","All","Count",318
"2007","S01001790","All","Count",316
"2008","S01001790","All","Count",318
"2009","S01001790","All","Count",318
"2010","S01001790","All","Count",318
"2011","S01001790","All","Count",318
"2012","S01001790","All","Count",318
"2013","S01001790","All","Count",318
"2003","S01001790","All","Count",318
"2010","S01001790","Flats","Count",128
"2006","S01001790","Flats","Count",130
"2012","S01001790","Flats","Count",128
"2011","S01001790","Flats","Count",128
"2009","S01001790","Flats","Count",128
"2013","S01001790","Flats","Count",128
"2007","S01001790","Flats","Count",128
"2008","S01001790","Flats","Count",128
"2008","S01001790","Semi-Detached","Count",107
"2010","S01001790","Semi-Detached","Count",107
"2007","S01001790","Semi-Detached","Count",107
"2011","S01001790","Semi-Detached","Count",107
"2012","S01001790","Semi-Detached","Count",107
"2006","S01001790","Semi-Detached","Count",106
"2013","S01001790","Semi-Detached","Count",107
"2009","S01001790","Semi-Detached","Count",107
"2013","S01001790","Terraced","Count",7
"2012","S01001790","Terraced","Count",7
"2008","S01001790","Terraced","Count",7
"2006","S01001790","Terraced","Count",7
"2009","S01001790","Terraced","Count",7
"2011","S01001790","Terraced","Count",7
"2007","S01001790","Terraced","Count",7
"2010","S01001790","Terraced","Count",7
"2006","S01001790","Unknown","Count",0
"2011","S01001790","Unknown","Count",0
"2007","S01001790","Unknown","Count",0
"2008","S01001790","Unknown","Count",0
"2012","S01001790","Unknown","Count",0
"2010","S01001790","Unknown","Count",0
"2009","S01001790","Unknown","Count",0
"2013","S01001790","Unknown","Count",0
"2009","S01001790","Detached","Count",76
"2006","S01001790","Detached","Count",75
"2012","S01001790","Detached","Count",76
"2008","S01001790","Unknown","Ratio",0
"2008","S01001790","Terraced","Ratio","2.2"
"2011","S01001790","Terraced","Ratio","2.2"
"2007","S01001790","Unknown","Ratio",0
"2011","S01001790","Unknown","Ratio",0
"2006","S01001790","Unknown","Ratio",0
"2007","S01001790","Semi-Detached","Ratio","33.86"
"2013","S01001790","Unknown","Ratio",0
"2006","S01001790","Semi-Detached","Ratio","33.33"
"2009","S01001790","Unknown","Ratio",0
"2007","S01001790","Flats","Ratio","40.51"
"2012","S01001790","Semi-Detached","Ratio","33.65"
"2010","S01001790","Flats","Ratio","40.25"
"2012","S01001790","Unknown","Ratio",0
"2010","S01001790","Unknown","Ratio",0
"2012","S01001790","Terraced","Ratio","2.2"
"2006","S01001790","Terraced","Ratio","2.2"
"2013","S01001790","Detached","Ratio","23.9"
"2009","S01001790","Detached","Ratio","23.9"
"2009","S01001790","Flats","Ratio","40.25"
"2006","S01001790","Flats","Ratio","40.88"
"2013","S01001790","Flats","Ratio","40.25"
"2007","S01001790","Detached","Ratio","23.42"
"2012","S01001790","Detached","Ratio","23.9"
"2013","S01001790","Terraced","Ratio","2.2"
"2011","S01001790","Detached","Ratio","23.9"
"2013","S01001790","Semi-Detached","Ratio","33.65"
"2009","S01001790","Semi-Detached","Ratio","33.65"
"2006","S01001790","Detached","Ratio","23.58"
"2008","S01001790","Detached","Ratio","23.9"
"2008","S01001790","Flats","Ratio","40.25"
"2010","S01001790","Detached","Ratio","23.9"
"2009","S01001790","Terraced","Ratio","2.2"
"2012","S01001790","Flats","Ratio","40.25"
"2011","S01001790","Flats","Ratio","40.25"
"2007","S01001790","Terraced","Ratio","2.22"
"2010","S01001790","Semi-Detached","Ratio","33.65"
"2008","S01001790","Semi-Detached","Ratio","33.65"
"2010","S01001790","Terraced","Ratio","2.2"
"2011","S01001790","Semi-Detached","Ratio","33.65"
"2013","S01001791","Detached","Count",141
"2011","S01001791","Detached","Count",141
"2007","S01001791","Detached","Count",142
"2008","S01001791","Detached","Count",142
"2010","S01001791","Detached","Count",140
"2004","S01001791","All","Count",300
"2005","S01001791","All","Count",300
"2006","S01001791","All","Count",303
"2007","S01001791","All","Count",305
"2008","S01001791","All","Count",306
"2009","S01001791","All","Count",311
"2010","S01001791","All","Count",305
"2011","S01001791","All","Count",307
"2012","S01001791","All","Count",307
"2013","S01001791","All","Count",307
"2003","S01001791","All","Count",299
"2010","S01001791","Flats","Count",71
"2006","S01001791","Flats","Count",71
"2012","S01001791","Flats","Count",71
"2011","S01001791","Flats","Count",71
"2009","S01001791","Flats","Count",77
"2013","S01001791","Flats","Count",71
"2007","S01001791","Flats","Count",71
"2008","S01001791","Flats","Count",71
"2008","S01001791","Semi-Detached","Count",90
"2010","S01001791","Semi-Detached","Count",90
"2007","S01001791","Semi-Detached","Count",90
"2011","S01001791","Semi-Detached","Count",90
"2012","S01001791","Semi-Detached","Count",90
"2006","S01001791","Semi-Detached","Count",90
"2013","S01001791","Semi-Detached","Count",90
"2009","S01001791","Semi-Detached","Count",90
"2013","S01001791","Terraced","Count",5
"2012","S01001791","Terraced","Count",5
"2008","S01001791","Terraced","Count",3
"2006","S01001791","Terraced","Count",0
"2009","S01001791","Terraced","Count",3
"2011","S01001791","Terraced","Count",5
"2007","S01001791","Terraced","Count",2
"2010","S01001791","Terraced","Count",4
"2006","S01001791","Unknown","Count",0
"2011","S01001791","Unknown","Count",0
"2007","S01001791","Unknown","Count",0
"2008","S01001791","Unknown","Count",0
"2012","S01001791","Unknown","Count",0
"2010","S01001791","Unknown","Count",0
"2009","S01001791","Unknown","Count",0
"2013","S01001791","Unknown","Count",0
"2009","S01001791","Detached","Count",141
"2006","S01001791","Detached","Count",142
"2012","S01001791","Detached","Count",141
"2008","S01001791","Unknown","Ratio",0
"2008","S01001791","Terraced","Ratio","0.98"
"2011","S01001791","Terraced","Ratio","1.63"
"2007","S01001791","Unknown","Ratio",0
"2011","S01001791","Unknown","Ratio",0
"2006","S01001791","Unknown","Ratio",0
"2007","S01001791","Semi-Detached","Ratio","29.51"
"2013","S01001791","Unknown","Ratio",0
"2006","S01001791","Semi-Detached","Ratio","29.7"
"2009","S01001791","Unknown","Ratio",0
"2007","S01001791","Flats","Ratio","23.28"
"2012","S01001791","Semi-Detached","Ratio","29.32"
"2010","S01001791","Flats","Ratio","23.28"
"2012","S01001791","Unknown","Ratio",0
"2010","S01001791","Unknown","Ratio",0
"2012","S01001791","Terraced","Ratio","1.63"
"2006","S01001791","Terraced","Ratio",0
"2013","S01001791","Detached","Ratio","45.93"
"2009","S01001791","Detached","Ratio","45.34"
"2009","S01001791","Flats","Ratio","24.76"
"2006","S01001791","Flats","Ratio","23.43"
"2013","S01001791","Flats","Ratio","23.13"
"2007","S01001791","Detached","Ratio","46.56"
"2012","S01001791","Detached","Ratio","45.93"
"2013","S01001791","Terraced","Ratio","1.63"
"2011","S01001791","Detached","Ratio","45.93"
"2013","S01001791","Semi-Detached","Ratio","29.32"
"2009","S01001791","Semi-Detached","Ratio","28.94"
"2006","S01001791","Detached","Ratio","46.86"
"2008","S01001791","Detached","Ratio","46.41"
"2008","S01001791","Flats","Ratio","23.2"
"2010","S01001791","Detached","Ratio","45.9"
"2009","S01001791","Terraced","Ratio","0.96"
"2012","S01001791","Flats","Ratio","23.13"
"2011","S01001791","Flats","Ratio","23.13"
"2007","S01001791","Terraced","Ratio","0.66"
"2010","S01001791","Semi-Detached","Ratio","29.51"
"2008","S01001791","Semi-Detached","Ratio","29.41"
"2010","S01001791","Terraced","Ratio","1.31"
"2011","S01001791","Semi-Detached","Ratio","29.32"
"2013","S01001792","Detached","Count",35
"2011","S01001792","Detached","Count",35
"2007","S01001792","Detached","Count",35
"2008","S01001792","Detached","Count",35
"2010","S01001792","Detached","Count",35
"2004","S01001792","All","Count",291
"2005","S01001792","All","Count",291
"2006","S01001792","All","Count",291
"2007","S01001792","All","Count",291
"2008","S01001792","All","Count",291
"2009","S01001792","All","Count",291
"2010","S01001792","All","Count",291
"2011","S01001792","All","Count",291
"2012","S01001792","All","Count",291
"2013","S01001792","All","Count",291
"2003","S01001792","All","Count",291
"2010","S01001792","Flats","Count",38
